altitude,availableBikes,availableDocks,city,id,is_renting,kioskType,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,status,statusKey,statusValue,testStation,totalDocks
0.0,1,10,Chicago,102,True,True,Chicago,2021-08-31 04:49:18,41.77345849948,Chicago,-87.5853397391,60602,Chicago,Chicago,Stony Island Ave & 67th St,IN_SERVICE,1,IN_SERVICE,False,11
0.0,1,14,Chicago,103,True,True,Chicago,2021-08-31 10:54:33,41.87146651779,Chicago,-87.6409491327,60602,Chicago,Chicago,Clinton St & Polk St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,1,26,Chicago,106,True,True,Chicago,2021-08-31 13:18:23,41.897448,Chicago,-87.628722,60602,Chicago,Chicago,State St & Pearson St,IN_SERVICE,1,IN_SERVICE,False,27
0.0,2,25,Chicago,107,True,True,Chicago,2021-08-31 13:04:25,41.87811890091227,Chicago,-87.64394760131836,60602,Chicago,Chicago,Desplaines St & Jackson Blvd,IN_SERVICE,1,IN_SERVICE,False,27
0.0,17,2,Chicago,108,True,True,Chicago,2021-08-31 13:11:53,41.87184,Chicago,-87.64664,60602,Chicago,Chicago,Halsted St & Polk St,IN_SERVICE,1,IN_SERVICE,False,19
0.0,8,9,Chicago,109,True,True,Chicago,2021-08-31 13:03:34,41.874754,Chicago,-87.649807,60602,Chicago,Chicago,900 W Harrison St,IN_SERVICE,1,IN_SERVICE,False,19
0.0,3,24,Chicago,110,True,True,Chicago,2021-08-31 13:08:17,41.893992,Chicago,-87.629318,60602,Chicago,Chicago,Dearborn St & Erie St,IN_SERVICE,1,IN_SERVICE,False,27
0.0,3,24,Chicago,111,True,True,Chicago,2021-08-31 13:12:27,41.894666,Chicago,-87.638437,60602,Chicago,Chicago,Sedgwick St & Huron St,IN_SERVICE,1,IN_SERVICE,False,27
0.0,9,5,Chicago,112,True,True,Chicago,2021-08-31 13:14:14,41.883668,Chicago,-87.64867,60602,Chicago,Chicago,Green St & Randolph St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,14,1,Chicago,113,True,True,Chicago,2021-08-31 13:03:06,41.91844,Chicago,-87.65222,60602,Chicago,Chicago,Bissell St & Armitage Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,1,25,Chicago,114,True,True,Chicago,2021-08-31 13:03:30,41.949399,Chicago,-87.654529,60602,Chicago,Chicago,Sheffield Ave & Waveland Ave,IN_SERVICE,1,IN_SERVICE,False,27
0.0,7,15,Chicago,115,True,True,Chicago,2021-08-31 13:06:13,41.936266,Chicago,-87.652662,60602,Chicago,Chicago,Sheffield Ave & Wellington Ave,IN_SERVICE,1,IN_SERVICE,False,23
0.0,4,11,Chicago,116,True,True,Chicago,2021-08-31 13:19:03,41.91552,Chicago,-87.687022,60602,Chicago,Chicago,Western Ave & Winnebago Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,3,24,Chicago,117,True,True,Chicago,2021-08-31 13:19:27,41.94018,Chicago,-87.65304,60602,Chicago,Chicago,Wilton Ave & Belmont Ave,IN_SERVICE,1,IN_SERVICE,False,27
0.0,1,18,Chicago,118,True,True,Chicago,2021-08-31 13:11:30,41.911386,Chicago,-87.638677,60602,Chicago,Chicago,Sedgwick St & North Ave,IN_SERVICE,1,IN_SERVICE,False,19
0.0,13,5,Chicago,119,True,True,Chicago,2021-08-31 13:15:12,41.88592,Chicago,-87.66717,60602,Chicago,Chicago,Ashland Ave & Lake St,IN_SERVICE,1,IN_SERVICE,False,19
0.0,11,8,Chicago,120,True,True,Chicago,2021-08-31 13:19:12,41.85308455741279,Chicago,-87.63193130493164,60602,Chicago,Chicago,Wentworth Ave & Cermak Rd,IN_SERVICE,1,IN_SERVICE,False,19
0.0,0,19,Chicago,121,True,True,Chicago,2021-08-31 12:36:26,41.802562,Chicago,-87.590368,60602,Chicago,Chicago,Blackstone Ave & Hyde Park Blvd,IN_SERVICE,1,IN_SERVICE,False,19
0.0,14,0,Chicago,122,True,True,Chicago,2021-08-31 13:14:05,41.87501,Chicago,-87.67328,60602,Chicago,Chicago,Ogden Ave & Congress Pkwy,IN_SERVICE,1,IN_SERVICE,False,15
0.0,6,9,Chicago,123,True,True,Chicago,2021-08-31 12:51:35,41.922695,Chicago,-87.697153,60602,Chicago,Chicago,California Ave & Milwaukee Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,4,11,Chicago,124,True,True,Chicago,2021-08-31 13:15:30,41.854966518753926,Chicago,-87.67569959163664,60602,Chicago,Chicago,Damen Ave & Cullerton St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,12,10,Chicago,125,True,True,Chicago,2021-08-31 12:15:08,41.890173,Chicago,-87.626185,60602,Chicago,Chicago,Rush St & Hubbard St,IN_SERVICE,1,IN_SERVICE,False,23
0.0,0,14,Chicago,126,True,True,Chicago,2021-08-31 12:32:44,41.911974,Chicago,-87.631942,60602,Chicago,Chicago,Clark St & North Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,5,9,Chicago,127,True,True,Chicago,2021-08-31 13:10:43,41.925905,Chicago,-87.64926,60602,Chicago,Chicago,Lincoln Ave & Fullerton Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,15,2,Chicago,128,True,True,Chicago,2021-08-31 13:11:21,41.895769,Chicago,-87.67722,60602,Chicago,Chicago,Damen Ave & Chicago Ave,IN_SERVICE,1,IN_SERVICE,False,19
0.0,8,6,Chicago,129,True,True,Chicago,2021-08-31 12:28:50,41.857556,Chicago,-87.661535,60602,Chicago,Chicago,Blue Island Ave & 18th St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,3,16,Chicago,130,True,True,Chicago,2021-08-31 13:18:10,41.903266,Chicago,-87.678435,60602,Chicago,Chicago,Damen Ave & Division St,IN_SERVICE,1,IN_SERVICE,False,19
0.0,13,2,Chicago,131,True,True,Chicago,2021-08-31 13:07:46,41.939365,Chicago,-87.668385,60602,Chicago,Chicago,Lincoln Ave & Belmont Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,2,13,Chicago,132,True,True,Chicago,2021-08-31 10:18:30,41.85008369347577,Chicago,-87.6321405172348,60602,Chicago,Chicago,Wentworth Ave & 24th St (Temp),IN_SERVICE,1,IN_SERVICE,False,15
0.0,14,16,Chicago,133,True,True,Chicago,2021-08-31 13:15:09,41.88917683258,Chicago,-87.6385057718,60602,Chicago,Chicago,Kingsbury St & Kinzie St,IN_SERVICE,1,IN_SERVICE,False,31
0.0,7,12,Chicago,134,True,True,Chicago,2021-08-31 13:16:28,41.8776415962753,Chicago,-87.64961779117584,60602,Chicago,Chicago,Peoria St & Jackson Blvd,IN_SERVICE,1,IN_SERVICE,False,19
